Original Value,Processed Value
[],IFM5_HUMAN
[],TTL13_HUMAN
[],S38A8_HUMAN
[],UBP27_HUMAN
[],TBB8B_HUMAN
[],TTLL8_HUMAN
[],ZSWM8_HUMAN
[],MYH7B_HUMAN
[],RHG32_HUMAN
[],TBKB1_HUMAN
[],SRRM4_HUMAN
[],SOBP_HUMAN
[],P121C_HUMAN
[],WASH1_HUMAN
[],A2ML1_HUMAN
[],CLM7_HUMAN
[],CLCA1_HUMAN
[],OCAT2_HUMAN
[],SFI1_HUMAN
[],ZN785_HUMAN
[],GBRR3_HUMAN
[],CRTP1_HUMAN
[],NEU1B_HUMAN
[],CENPX_HUMAN
[],CMI2B_HUMAN
[],GNAT3_HUMAN
[],FOXI3_HUMAN
[],NOTO_HUMAN
[],BBIP1_HUMAN
[],SMTL1_HUMAN
[],CSKMT_HUMAN
[],VGLL3_HUMAN
[],HECA2_HUMAN
[],P20L1_HUMAN
[],BECN2_HUMAN
[],MEI4_HUMAN
[],GRCR1_HUMAN
[],NUD19_HUMAN
[],KCNU1_HUMAN
[],LEUTX_HUMAN
[],CO6A5_HUMAN
[],IMA8_HUMAN
[],MI4GD_HUMAN
[],AHRR_HUMAN
[],MYO1G_HUMAN
[],DESPR_HUMAN
[],HACD1_HUMAN
[],ESPN_HUMAN
[],MYO9A_HUMAN
[],VWC2L_HUMAN
[],SMIM1_HUMAN
[],ZBT42_HUMAN
[],KDM4E_HUMAN
[],IQIP1_HUMAN
[],TARM1_HUMAN
[],KCJ18_HUMAN
[],GPHRA_HUMAN
[],WASH3_HUMAN
[],PATL2_HUMAN
[],MCRI1_HUMAN
[],KBTBD_HUMAN
[],AK1BF_HUMAN
[],KLRF2_HUMAN
[],MCIN_HUMAN
[],STMP1_HUMAN
[],SO1BT_HUMAN
[],SUMO5_HUMAN
[],TM250_HUMAN
[],TGR3L_HUMAN
[],SIM22_HUMAN
[],IFNL4_HUMAN
[],MIDUO_HUMAN
[],DCDC1_HUMAN
[],DNS2A_HUMAN
[],ADAS_HUMAN
[],UBXN8_HUMAN
[],KIF2A_HUMAN
[],SGK1_HUMAN
[],KITM_HUMAN
[],FZD9_HUMAN
[],DX39A_HUMAN
[],PDLI1_HUMAN
[],BACH_HUMAN
[],GPR25_HUMAN
[],MYO1C_HUMAN
[],MYO1F_HUMAN
[],SNP23_HUMAN
[],HAX1_HUMAN
[],EYA2_HUMAN
[],PLM_HUMAN
[],AIP_HUMAN
[],CCL24_HUMAN
[],GTPB1_HUMAN
[],KCNK1_HUMAN
[],LEG9_HUMAN
[],STXB3_HUMAN
[],MASP2_HUMAN
[],AP4M1_HUMAN
[],ARVC_HUMAN
[],RB27B_HUMAN
[],HRK_HUMAN
[],AP3B1_HUMAN
[],ST2B1_HUMAN
[],TLR4_HUMAN
[],RHOD_HUMAN
[],APBB1_HUMAN
[],LEG8_HUMAN
[],NDUS8_HUMAN
[],HYAS3_HUMAN
[],TR10A_HUMAN
[],IKBE_HUMAN
[],GRM8_HUMAN
[],PSD11_HUMAN
[],PSD12_HUMAN
[],PSMD9_HUMAN
[],RN103_HUMAN
[],BMR1B_HUMAN
[],SIRB1_HUMAN
[],ATOX1_HUMAN
[],AGRP_HUMAN
[],PAR3_HUMAN
[],MEN1_HUMAN
[],CBX4_HUMAN
[],GET1_HUMAN
[],PGRC1_HUMAN
[],SPT5H_HUMAN
[],TAF4_HUMAN
[],GPR31_HUMAN
[],DFFA_HUMAN
[],RFXAP_HUMAN
[],HIP1_HUMAN
[],LFTY2_HUMAN
[],TULP1_HUMAN
[],CLIC1_HUMAN
[],TR11B_HUMAN
[],EIF3F_HUMAN
[],CACB4_HUMAN
[],WWP2_HUMAN
[],CDC7_HUMAN
[],ETV2_HUMAN
[],UPK1A_HUMAN
[],BMAL1_HUMAN
[],PK3CD_HUMAN
[],ODPX_HUMAN
[],S28A1_HUMAN
[],ST1C2_HUMAN
[],MATN2_HUMAN
[],EAA5_HUMAN
[],FOXE1_HUMAN
[],LORF2_HUMAN
[],QSOX1_HUMAN
[],DCTN6_HUMAN
[],ACATN_HUMAN
[],WASL_HUMAN
[],PDE2A_HUMAN
[],FOXN3_HUMAN
[],IPO5_HUMAN
[],RPOM_HUMAN
[],EF2K_HUMAN
[],CCRL2_HUMAN
[],SAP18_HUMAN
[],EMAL1_HUMAN
[],IF2B3_HUMAN
[],DNM1L_HUMAN
[],RTCA_HUMAN
[],P3C2A_HUMAN
[],PLK4_HUMAN
[],SYT5_HUMAN
[],GFRA2_HUMAN
[],LST1_HUMAN
[],P85B_HUMAN
[],GOLI4_HUMAN
[],MANBA_HUMAN
[],TRAF5_HUMAN
[],AGRIN_HUMAN
[],PLOD2_HUMAN
[],MEIS1_HUMAN
[],EXOC5_HUMAN
[],ELL2_HUMAN
[],NPT4_HUMAN
[],BT3A3_HUMAN
[],BT3A1_HUMAN
[],NR5A2_HUMAN
[],NDUA4_HUMAN
[],PSDE_HUMAN
[],ZN593_HUMAN
[],BIN1_HUMAN
[],CLD5_HUMAN
[],IMA4_HUMAN
[],STK25_HUMAN
[],USP9Y_HUMAN
[],BCL9_HUMAN
[],FAAH1_HUMAN
[],KRIT1_HUMAN
[],UPK2_HUMAN
[],NCHL1_HUMAN
[],PESC_HUMAN
[],DLL1_HUMAN
[],CAC1A_HUMAN
[],RCAS1_HUMAN
[],SDCB1_HUMAN
[],PITM1_HUMAN
[],MPP10_HUMAN
[],NOP56_HUMAN
[],DDX3X_HUMAN
[],CXCR6_HUMAN
[],RNT2_HUMAN
[],CCL21_HUMAN
[],MFNG_HUMAN
[],ACKR2_HUMAN
[],GBRP_HUMAN
[],PODXL_HUMAN
[],FCN1_HUMAN
[],CCN1_HUMAN
[],PEX12_HUMAN
[],NPT3_HUMAN
[],PIR_HUMAN
[],CCL22_HUMAN
[],PEX7_HUMAN
[],IMA3_HUMAN
[],SARCO_HUMAN
[],TRI38_HUMAN
[],NFIB_HUMAN
[],E2F3_HUMAN
[],PPP6_HUMAN
[],WN10B_HUMAN
[],NDKM_HUMAN
[],EST2_HUMAN
[],P3C2B_HUMAN
[],MA2B1_HUMAN
[],WNT7A_HUMAN
[],F16P2_HUMAN
[],UBE2C_HUMAN
[],ACACB_HUMAN
[],PDXK_HUMAN
[],SCD_HUMAN
[],DLGP1_HUMAN
[],SH2B2_HUMAN
[],CLD4_HUMAN
[],PLPP1_HUMAN
[],PLPP3_HUMAN
[],ARI1A_HUMAN
[],BHE40_HUMAN
[],SOCS2_HUMAN
[],NRG2_HUMAN
[],SOCS7_HUMAN
[],NCKP5_HUMAN
[],AGRB1_HUMAN
[],CDKA1_HUMAN
[],AQP7_HUMAN
[],DHSD_HUMAN
[],PTPRT_HUMAN
[],C2C2L_HUMAN
[],NEMP1_HUMAN
[],ASTN1_HUMAN
[],FCHO1_HUMAN
[],CUX2_HUMAN
[],TXND9_HUMAN
[],DPYL4_HUMAN
[],SOCS3_HUMAN
[],SOCS6_HUMAN
[],CO72L_HUMAN
[],G3PT_HUMAN
[],HSPB6_HUMAN
[],RHG33_HUMAN
[],ACPM_HUMAN
[],C56D2_HUMAN
[],DC1I1_HUMAN
[],CTRO_HUMAN
[],COPE_HUMAN
[],RFXK_HUMAN
[],NCAN_HUMAN
[],CTDS2_HUMAN
[],UTY_HUMAN
[],GBGT2_HUMAN
[],BORG1_HUMAN
[],AP3D1_HUMAN
[],CCS_HUMAN
[],CXL11_HUMAN
[],CDX4_HUMAN
[],ZN195_HUMAN
[],LCE2B_HUMAN
[],ENPP3_HUMAN
[],ABLM1_HUMAN
[],DVL1_HUMAN
[],DVL2_HUMAN
[],IDLC_HUMAN
[],CHD1_HUMAN
[],CHD2_HUMAN
[],KCNK3_HUMAN
[],GOSR2_HUMAN
[],IRS4_HUMAN
[],TOR1A_HUMAN
[],TOR1B_HUMAN
[],STX16_HUMAN
[],TMG2_HUMAN
[],ADA10_HUMAN
[],ABCD4_HUMAN
[],EI24_HUMAN
[],ENC1_HUMAN
[],PTGES_HUMAN
[],KMT2D_HUMAN
[],ITBP1_HUMAN
[],TRDMT_HUMAN
[],APAF_HUMAN
[],RIOK3_HUMAN
[],IMPA2_HUMAN
[],MP2K7_HUMAN
[],ACOT8_HUMAN
[],CDIPT_HUMAN
[],PDCD5_HUMAN
[],ANM5_HUMAN
[],NHRF1_HUMAN
[],TERT_HUMAN
[],H17B6_HUMAN
[],CHK1_HUMAN
[],TR10B_HUMAN
[],GBRD_HUMAN
[],MEIS2_HUMAN
[],ZN213_HUMAN
[],FPGT_HUMAN
[],TPP1_HUMAN
[],GNB5_HUMAN
[],TCRG1_HUMAN
[],NDC80_HUMAN
[],KIF3C_HUMAN
[],NRP1_HUMAN
[],TNPO2_HUMAN
[],TNF11_HUMAN
[],APOL1_HUMAN
[],HS3S1_HUMAN
[],GDF8_HUMAN
[],UN13B_HUMAN
[],SH21B_HUMAN
[],TR10C_HUMAN
[],RPC1_HUMAN
[],TAAR5_HUMAN
[],RASM_HUMAN
[],CPLX1_HUMAN
[],PHX2A_HUMAN
[],CAN9_HUMAN
[],TSN4_HUMAN
[],PSA7_HUMAN
[],RGRF2_HUMAN
[],SCAM3_HUMAN
[],PPE1_HUMAN
[],PPE2_HUMAN
[],PAHX_HUMAN
[],TR13B_HUMAN
[],FFAR1_HUMAN
[],FFAR3_HUMAN
[],AIM2_HUMAN
[],ZNT4_HUMAN
[],BACH1_HUMAN
[],BCKD_HUMAN
[],IFIT3_HUMAN
[],MGST3_HUMAN
[],GEMI2_HUMAN
[],T4S5_HUMAN
[],IRF6_HUMAN
[],KLF11_HUMAN
[],WNT9A_HUMAN
[],WNT9B_HUMAN
[],TX1B3_HUMAN
[],GIPC1_HUMAN
[],LIN7A_HUMAN
[],PCD17_HUMAN
[],IKKB_HUMAN
[],RGS12_HUMAN
[],TIM23_HUMAN
[],FSCN2_HUMAN
[],HAT1_HUMAN
[],NCTR3_HUMAN
[],UB2L6_HUMAN
[],CSKP_HUMAN
[],PLD2_HUMAN
[],EREG_HUMAN
[],TFEC_HUMAN
[],QCR8_HUMAN
[],ML12B_HUMAN
[],CASQ2_HUMAN
[],LECT2_HUMAN
[],HGS_HUMAN
[],AURKA_HUMAN
[],RAB7L_HUMAN
[],CLGN_HUMAN
[],VP26C_HUMAN
[],MYPT1_HUMAN
[],S27A2_HUMAN
[],GAK_HUMAN
[],AZIN1_HUMAN
[],ZN263_HUMAN
[],HNRDL_HUMAN
[],XPO1_HUMAN
[],BTAF1_HUMAN
[],AT2A1_HUMAN
[],PI51B_HUMAN
[],SYN3_HUMAN
[],ARHGA_HUMAN
[],ZN609_HUMAN
[],ZN646_HUMAN
[],PDZD2_HUMAN
[],SPTN2_HUMAN
[],MAST4_HUMAN
[],SC16A_HUMAN
[],PLXB2_HUMAN
[],AREL1_HUMAN
[],TCPR2_HUMAN
[],SEM3E_HUMAN
[],SR140_HUMAN
[],SET1A_HUMAN
[],N4BP3_HUMAN
[],KDM6B_HUMAN
[],PER2_HUMAN
[],SYNJ2_HUMAN
[],ZBT39_HUMAN
[],SYNEM_HUMAN
[],ZBTB5_HUMAN
[],KIF3B_HUMAN
[],PUR4_HUMAN
[],MCF2L_HUMAN
[],ATS3_HUMAN
[],DCLK1_HUMAN
[],CE290_HUMAN
[],SNPH_HUMAN
[],ERC2_HUMAN
[],ANR28_HUMAN
[],ARHGB_HUMAN
[],MRPP3_HUMAN
[],SMAD7_HUMAN
[],IKKA_HUMAN
[],LSM1_HUMAN
[],FYB1_HUMAN
[],NPC1_HUMAN
[],TBX3_HUMAN
[],PLCB_HUMAN
[],DEGS1_HUMAN
[],ANGP2_HUMAN
[],SCAM1_HUMAN
[],SCAM2_HUMAN
[],NPFF_HUMAN
[],IMA6_HUMAN
[],ARC1B_HUMAN
[],ARPC2_HUMAN
[],ARPC3_HUMAN
[],MUSK_HUMAN
[],MDM4_HUMAN
[],BET1_HUMAN
[],ZBT7B_HUMAN
[],RPAC1_HUMAN
[],PLS1_HUMAN
[],TIF1A_HUMAN
[],LRAD4_HUMAN
[],AXIN1_HUMAN
[],PGRC2_HUMAN
[],TBXT_HUMAN
[],CETN3_HUMAN
[],CTDSL_HUMAN
[],VILL_HUMAN
[],EPHB6_HUMAN
[],SMAD9_HUMAN
[],ADEC1_HUMAN
[],UBD_HUMAN
[],ZBT22_HUMAN
[],RGL2_HUMAN
[],PFD6_HUMAN
[],WDR46_HUMAN
[],GSTA4_HUMAN
[],NKRF_HUMAN
[],GNPAT_HUMAN
[],KMO_HUMAN
[],LAMA5_HUMAN
[],ZN185_HUMAN
[],MATN3_HUMAN
[],CASC3_HUMAN
[],NDUA1_HUMAN
[],VGF_HUMAN
[],OBRG_HUMAN
[],S22A2_HUMAN
[],S22A1_HUMAN
[],CLIC2_HUMAN
[],ACOX3_HUMAN
[],RER1_HUMAN
[],NPHP1_HUMAN
[],SURF4_HUMAN
[],DFB4A_HUMAN
[],MK13_HUMAN
[],ATX7_HUMAN
[],SHOX_HUMAN
[],SPTC1_HUMAN
[],SPTC2_HUMAN
[],TELT_HUMAN
[],FANCG_HUMAN
[],OGT1_HUMAN
[],LX15B_HUMAN
[],PPM1D_HUMAN
[],GRM6_HUMAN
[],SIVA_HUMAN
[],PMM2_HUMAN
[],RA51B_HUMAN
[],RPC7_HUMAN
[],INP4B_HUMAN
[],VA0E1_HUMAN
[],TRI18_HUMAN
[],HMGB3_HUMAN
[],P73_HUMAN
[],FOXN1_HUMAN
[],GPR37_HUMAN
[],PPM1G_HUMAN
[],SHIP2_HUMAN
[],FANCA_HUMAN
[],SOX12_HUMAN
[],EIF3D_HUMAN
[],EIF3H_HUMAN
[],MOT5_HUMAN
[],HDAC3_HUMAN
[],NVL_HUMAN
[],BCAT2_HUMAN
[],SIGL5_HUMAN
[],TYY2_HUMAN
[],BIRC5_HUMAN
[],TMPS2_HUMAN
[],NCAM2_HUMAN
[],IPO8_HUMAN
[],NMDE4_HUMAN
[],STX7_HUMAN
[],TOX3_HUMAN
[],FOXP2_HUMAN
[],MOT4_HUMAN
[],COPT1_HUMAN
[],COPT2_HUMAN
[],MRP3_HUMAN
[],MRP4_HUMAN
[],MRP5_HUMAN
[],CCL25_HUMAN
[],RPA34_HUMAN
[],TLR3_HUMAN
[],MSH4_HUMAN
[],P4HA2_HUMAN
[],SIA8E_HUMAN
[],CCL16_HUMAN
[],MAGB2_HUMAN
[],MAGB4_HUMAN
[],CAN5_HUMAN
[],GLYG2_HUMAN
[],RGS16_HUMAN
[],PA2GX_HUMAN
[],YKT6_HUMAN
[],GSC2_HUMAN
[],INSI1_HUMAN
[],NUP42_HUMAN
[],ARPC5_HUMAN
[],RPB4_HUMAN
[],CLOCK_HUMAN
[],CFLAR_HUMAN
[],FGF10_HUMAN
[],NKX28_HUMAN
[],DDX3Y_HUMAN
[],SOCS1_HUMAN
[],MAFG_HUMAN
[],OGG1_HUMAN
[],CP27B_HUMAN
[],GPR42_HUMAN
[],PDPK1_HUMAN
[],TPSN_HUMAN
[],PER1_HUMAN
[],ZSC9_HUMAN
[],XLRS1_HUMAN
[],FABP7_HUMAN
[],R113A_HUMAN
[],P2RX6_HUMAN
[],KDM6A_HUMAN
[],CLD3_HUMAN
[],FFAR2_HUMAN
[],MEFV_HUMAN
[],KCNN4_HUMAN
[],ENK18_HUMAN
[],DHX15_HUMAN
[],SGSM2_HUMAN
[],MCES_HUMAN
[],ZZEF1_HUMAN
[],ASAP2_HUMAN
[],TET3_HUMAN
[],FLRT2_HUMAN
[],TTI1_HUMAN
[],PLXB1_HUMAN
[],RRP8_HUMAN
[],PJA2_HUMAN
[],SI1L1_HUMAN
[],ZBT24_HUMAN
[],CYB5B_HUMAN
[],PRP4_HUMAN
[],SIA8C_HUMAN
[],CP26A_HUMAN
[],SERA_HUMAN
[],NDUS4_HUMAN
[],RHG06_HUMAN
[],ADA12_HUMAN
[],CRX_HUMAN
[],IRAK2_HUMAN
[],PHF1_HUMAN
[],MTLR_HUMAN
[],GPR39_HUMAN
[],MSH5_HUMAN
[],SEPT4_HUMAN
[],DC1L2_HUMAN
[],KLK10_HUMAN
[],PSMD3_HUMAN
[],HXC11_HUMAN
[],RFOX2_HUMAN
[],PAPS1_HUMAN
[],SIAH2_HUMAN
[],ZNHI1_HUMAN
[],ZW10_HUMAN
[],PROD_HUMAN
[],SPIT1_HUMAN
[],TREA_HUMAN
[],EFS_HUMAN
[],M3K13_HUMAN
[],B4GT5_HUMAN
[],SNUT1_HUMAN
[],SPIT2_HUMAN
[],GPAA1_HUMAN
[],DAPK3_HUMAN
[],TGFI1_HUMAN
[],SRGP3_HUMAN
[],ZN264_HUMAN
[],ZBT43_HUMAN
[],AP5Z1_HUMAN
[],LRRT2_HUMAN
[],CP110_HUMAN
[],ADCY6_HUMAN
[],ARHG9_HUMAN
[],ZSC12_HUMAN
[],CTIF_HUMAN
[],MTSS1_HUMAN
[],ATMIN_HUMAN
[],VIP2_HUMAN
[],AQP9_HUMAN
[],PAX4_HUMAN
[],M3K7_HUMAN
[],FGF16_HUMAN
[],DHH_HUMAN
[],MCA3_HUMAN
[],RIPK2_HUMAN
[],HXA2_HUMAN
[],HXA3_HUMAN
[],RASL2_HUMAN
[],WDR62_HUMAN
[],HNRPR_HUMAN
[],PRPF3_HUMAN
[],TXNL1_HUMAN
[],TPD54_HUMAN
[],EMC8_HUMAN
[],COCH_HUMAN
[],P52K_HUMAN
[],GRID2_HUMAN
[],SYNJ1_HUMAN
[],FIBP_HUMAN
[],IF4G3_HUMAN
[],TBX1_HUMAN
[],MTG8R_HUMAN
[],PPIH_HUMAN
[],KCAB3_HUMAN
[],MGA_HUMAN
[],MBTP2_HUMAN
[],SUV91_HUMAN
[],HTRA2_HUMAN
[],KLF4_HUMAN
[],MS18B_HUMAN
[],ARK72_HUMAN
[],PROM1_HUMAN
[],E41L2_HUMAN
[],TGON2_HUMAN
[],CAC1G_HUMAN
[],RA51C_HUMAN
[],LTOR5_HUMAN
[],B4GA1_HUMAN
[],ADA20_HUMAN
[],TNF12_HUMAN
[],S26A4_HUMAN
[],MED7_HUMAN
[],WIPF1_HUMAN
[],AT8B1_HUMAN
[],B2L11_HUMAN
[],FOXO3_HUMAN
[],KCNQ3_HUMAN
[],KCNQ2_HUMAN
[],CHSTA_HUMAN
[],SMAD6_HUMAN
[],XRCC3_HUMAN
[],XRCC2_HUMAN
[],TGM5_HUMAN
[],SGCE_HUMAN
[],TNF14_HUMAN
[],FRS3_HUMAN
[],LAT_HUMAN
[],RGS14_HUMAN
[],RNF13_HUMAN
[],CAH12_HUMAN
[],AKA10_HUMAN
[],SYT7_HUMAN
[],DENR_HUMAN
[],PPIP1_HUMAN
[],XPOT_HUMAN
[],HAIR_HUMAN
[],SPY2_HUMAN
[],DNPH1_HUMAN
[],DCX_HUMAN
[],GALR2_HUMAN
[],SPY1_HUMAN
[],SPY3_HUMAN
[],OREX_HUMAN
[],OX1R_HUMAN
[],OX2R_HUMAN
[],TIM44_HUMAN
[],TPPC3_HUMAN
[],SNAI2_HUMAN
[],CHM2A_HUMAN
[],NCK2_HUMAN
[],PSCA_HUMAN
[],PLRG1_HUMAN
[],PRC1_HUMAN
[],RGS10_HUMAN
[],ZN207_HUMAN
[],NDUB5_HUMAN
[],NDUB3_HUMAN
[],NDUA2_HUMAN
[],LDB2_HUMAN
[],TCF21_HUMAN
[],GET3_HUMAN
[],BUB1_HUMAN
[],BUB3_HUMAN
[],AKA7A_HUMAN
[],PLPP2_HUMAN
[],SIGL6_HUMAN
[],ST1B1_HUMAN
[],ACTN4_HUMAN
[],MAAI_HUMAN
[],BUD23_HUMAN
[],TLX3_HUMAN
[],TRIA1_HUMAN
[],GATC_HUMAN
[],HTSF1_HUMAN
[],ERD23_HUMAN
[],CIKS_HUMAN
[],CYH3_HUMAN
[],AAKB2_HUMAN
[],CHP2_HUMAN
[],AP1G1_HUMAN
[],OR1F1_HUMAN
[],STX6_HUMAN
[],SNG1_HUMAN
[],SNG2_HUMAN
[],SNG3_HUMAN
[],TLX2_HUMAN
[],SGTA_HUMAN
[],LIAS_HUMAN
[],ENSA_HUMAN
[],MCAT_HUMAN
[],SYNC_HUMAN
[],DYRK3_HUMAN
[],KRT86_HUMAN
[],SPOP_HUMAN
[],MYO1B_HUMAN
[],SSNA1_HUMAN
[],PM34_HUMAN
[],CPSF5_HUMAN
[],LANC1_HUMAN
[],STRN_HUMAN
[],U3IP2_HUMAN
[],SCO2_HUMAN
[],HYAL3_HUMAN
[],CF410_HUMAN
[],AKAP8_HUMAN
[],B3GT2_HUMAN
[],G6PT1_HUMAN
[],ANGL7_HUMAN
[],ZBT14_HUMAN
[],IDH3B_HUMAN
[],NRDC_HUMAN
[],CALU_HUMAN
[],EDIL3_HUMAN
[],ATP9B_HUMAN
[],SAHH2_HUMAN
[],CD5L_HUMAN
[],S28A2_HUMAN
[],CREB3_HUMAN
[],XPP2_HUMAN
[],KIF1C_HUMAN
[],TLL1_HUMAN
[],PRIC3_HUMAN
[],GAS2_HUMAN
[],EXTL3_HUMAN
[],ORC5_HUMAN
[],TYOBP_HUMAN
[],VEGFD_HUMAN
[],CHST1_HUMAN
[],AIRE_HUMAN
[],NDUS5_HUMAN
[],EFNA2_HUMAN
[],PDE6D_HUMAN
[],CXL13_HUMAN
[],ORC4_HUMAN
[],PEX1_HUMAN
[],RAD21_HUMAN
[],AK1BA_HUMAN
[],TIM8A_HUMAN
[],KALRN_HUMAN
[],DHX16_HUMAN
[],ZNRD2_HUMAN
[],TM11D_HUMAN
[],MYPT2_HUMAN
[],BNI3L_HUMAN
[],3BP5_HUMAN
[],PLIN1_HUMAN
[],AGRB2_HUMAN
[],AGRB3_HUMAN
[],H6ST1_HUMAN
[],MED14_HUMAN
[],SOX15_HUMAN
[],KPRB_HUMAN
[],FGF17_HUMAN
[],KLK8_HUMAN
[],PRKN_HUMAN
[],SMCA5_HUMAN
[],ADCY3_HUMAN
[],GRIN2_HUMAN
[],JIP4_HUMAN
[],ZN292_HUMAN
[],KIF5C_HUMAN
[],ST18_HUMAN
[],NUAK1_HUMAN
[],MGRN1_HUMAN
[],SI1L3_HUMAN
[],ZC3H1_HUMAN
[],TYW4_HUMAN
[],TRAK2_HUMAN
[],KATIP_HUMAN
[],ZN500_HUMAN
[],AQR_HUMAN
[],MAST3_HUMAN
[],CE104_HUMAN
[],AT10A_HUMAN
[],OPA1_HUMAN
[],ZEB2_HUMAN
[],GANP_HUMAN
[],PI51C_HUMAN
[],KIF1B_HUMAN
[],MABP1_HUMAN
[],MARH6_HUMAN
[],KDM1A_HUMAN
[],TBCD4_HUMAN
[],PHLP1_HUMAN
[],FZD6_HUMAN
[],NUPR1_HUMAN
[],CCG3_HUMAN
[],HBP1_HUMAN
[],GDF9_HUMAN
[],NMD3B_HUMAN
[],NOBOX_HUMAN
[],AT8B3_HUMAN
[],FADS1_HUMAN
[],PEPL_HUMAN
[],GSDME_HUMAN
[],EVI5_HUMAN
[],LY75_HUMAN
[],NRP2_HUMAN
[],DSCAM_HUMAN
[],MA1A2_HUMAN
[],BRNP1_HUMAN
[],G137B_HUMAN
[],DLX3_HUMAN
[],ZIC3_HUMAN
[],PLXC1_HUMAN
[],MPZL2_HUMAN
[],ACSL4_HUMAN
[],SNX3_HUMAN
[],CUBN_HUMAN
[],DOK2_HUMAN
[],STX10_HUMAN
[],NPHN_HUMAN
[],OGA_HUMAN
[],ADCY9_HUMAN
[],VINEX_HUMAN
[],HNRPQ_HUMAN
[],TPST1_HUMAN
[],PRP17_HUMAN
[],B4GT3_HUMAN
[],B4GT4_HUMAN
[],4EBP3_HUMAN
[],CRBL2_HUMAN
[],NEMF_HUMAN
[],CIDEA_HUMAN
[],GMDS_HUMAN
[],FOXD2_HUMAN
[],NMT2_HUMAN
[],CCNT1_HUMAN
[],GREM1_HUMAN
[],BUB1B_HUMAN
[],PLOD3_HUMAN
[],IF4E2_HUMAN
[],CCNT2_HUMAN
[],TLR5_HUMAN
[],TLR2_HUMAN
[],GFRA3_HUMAN
[],DIAP1_HUMAN
[],SEP15_HUMAN
[],TSN1_HUMAN
[],TSN2_HUMAN
[],AP180_HUMAN
[],EXOC3_HUMAN
[],UD19_HUMAN
[],PDE8A_HUMAN
[],KLH41_HUMAN
[],LMX1B_HUMAN
[],PLIN3_HUMAN
[],FCMR_HUMAN
[],MOT2_HUMAN
[],RAD1_HUMAN
[],REV3L_HUMAN
[],JAK2_HUMAN
[],MAFK_HUMAN
[],ANM3_HUMAN
[],MUSC_HUMAN
[],PEX10_HUMAN
[],IMA7_HUMAN
[],SRPX2_HUMAN
[],UGDH_HUMAN
